category                      | 2019-01-01 | 2019-02-01 | 2019-03-01 | 2019-04-01 | 2019-05-01 | 2019-06-01 | 2019-07-01 | 2019-08-01 | 2019-09-01 | 2019-10-01 | 2019-11-01 | 2019-12-01
art sales                     | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 1375       | 0          | 0          | 0          | 0
bar sales                     | 23,198.5   | 20,006.    | 25,983.    | 22,255     | 21,096.85  | 25,131.    | 23,317.5   | 29,794.5   | 4006.      | 22,332.81  | 21,778.27  | 23,054.97
food sales                    | 3697.5     | 2733.5     | 3972.5     | 3999.5     | 4496.5     | 5034.5     | 4806.      | 4583.      | 21,804.    | 4926.      | 4871.5     | 4206.
lottery commission            | 4923.79    | 3174.14    | 5850.64    | 4596.62    | 6391.35    | 5642.73    | 5104.36    | 5740.26    | 5900.21    | 5617.9     | 7567.3     | 4345.32
refunds                       | 0          | 0          | 0          | 0          | 0          | 0          | 0          | -10        | 0          | 0          | 0          | 0

food purchases                | 2900.34    | 2597.61    | 3211.95    | 3072.36    | 3485.75    | 2540.37    | 3126.56    | 4813.31    | 3658.29    | 3777.08    | 3850.76    | 3197.13
contract labor                | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 367.25     | 0          | 0
bar purchases                 | 7418.77    | 6876.97    | 8194.28    | 9011.55    | 6818.13    | 10364.47   | 6197.45    | 8178.3     | 5869.17    | 10374.79   | 7759.13    | 6053.16
merchant account fees         | 621.09     | 558.57     | 697.3      | 657.61     | 626.48     | 35.        | 0          | 0          | 0          | 0          | 0          | 0
restaurant supplies           | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 23.82      | 0          | 0          | 0          | 0

advertising                   | 101.2      | 96.89      | 133.81     | 176.64     | 500.       | 205.       | 42.71      | 925.79     | 0          | 172.       | 800.       | 0.
decorations                   | 0          | 125        | 0          | 0          | 156        | 0          | 0          | 0.         | 770        | 0          | 0          | 0
art payments                  | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 1100       | 0          | 61         | 0          | 0
automobile                    | 141.38     | 0          | 132.04     | 496.94     | -370.36    | 377.21     | 87.02      | 195.55     | 1274.26    | 0          | 0          | 0

bank services                 | 3          | 3          | 5          | 3          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0
uber                          | 0          | 0          | 0          | 0          | 0          | 17         | 0          | 0          | 0          | 0          | 0          | 0
charitable                    | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 27.97      | 0          | 0          | 0          | 66
art commissions               | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 180        | 0          | 0
depreciation                  | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 1779.96

dishes and furniture          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | -2         | 0          | 0          | 0
electronic equipment          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 34.98      | 0
entertainment                 | 2062.5     | 2350.5     | 2213.      | 1935.      | 1978.15    | 1770       | 1963.5     | 1572.5     | 1985       | 2097.15    | 1450.08    | 1386.5
equipment rental              | 269        | 341        | 351        | 341        | 269        | 119        | 107        | 163        | 99         | 35         | -64        | 56.45
lottery fees                  | 469.66     | 221.26     | 215.48     | 239.38     | 276.73     | 211.       | 211.       | 211.       | 211.       | 211.       | 211.       | 211.

workmans comp                 | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 297.44
insurance other               | 0          | 0          | 99         | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0
janitorial                    | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 210        | 0          | 0
licenses                      | 0          | 0          | 536.79     | 0          | 0          | 0          | 0          | 0          | 0          | 100        | 344.18     | 35
meals                         | 0          | 0          | 11.25      | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0

office supplies               | 0          | 0          | 28.47      | 90.75      | 55.04      | 0          | 30.48      | 100.67     | 264.96     | 60.07      | 32.98      | 446.77
outside services              | 0          | 0          | 0          | 30         | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0
over - cash till              | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0
over - bar                    | 2526.73    | -903.72    | -879.96    | 1855.47    | 1686.72    | 130.64     | -1264.12   | 77.74      | -71.75     | 198.       | 0          | 0
over - lottery                | 315.6      | -150.64    | 83.02      | -665.46    | 1027.42    | -18,485.35 | -4647.69   | 2318.34    | 10.95      | 1.73       | 4513.78    | 3055.10

parking                       | 0          | 0          | 0          | 0          | 4          | .55        | 0          | 0          | 0          | 0          | 0          | 0
party page                    | 212        | 202        | 250        | 212        | 120        | 0          | 0          | 0          | 0          | 0          | 0          | 0

payroll - cash draw           | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0
payroll - officer salary      | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0          | 0
